text,label
"Overpriced, mediocre sushi restaurant that only knows how to sell atmosphere and presentation. The service was good though and is the only reason that I have not given them 1 star. you really are better off buying sushi at schnuks. There are much better places in the nearby area.",0
Japanese restaurants are known for serving aesthetically-pleasing food which is as good as it looks. Their major foible is the fact that their food never truly gets you stuffed. This place does neither. I clearly asked for no onions on any of my order... But they put onions on every aspect of my bento box. \n\nSome of my colleagues were not even close to being full when they finished with their order. My below average bento box cost a total of $12 too. The price isn't worth it for the quality or quantity.,0
"On a Saturday evening, we waited 25 minutes without anyone taking our orders. First 15 minutes went by, we confronted the hostess and was told that a waiter will be with us shortly. Waited another 10 minutes, still no one to take our order. So we walked out. Not enough waiters, the chef has to come out to serve by himself. Bad management, can't hold a dinner service on a Saturday night. Everyone in the restaurant was waiting for his or her food. I've been there many times and this was the worst experience I've ever had here.",0
"This was on Saturday.\n\n7:35pm arrived and got seated immediately\n7:36-7:49pm watched servers walking by, chefs bringing food out themselves, and the hostess doing nothing\n7:50pm got our waters and \""""a server will be with you shortly\""""\n7:51-7:59pm tried to understand what the word \""""shortly\"""" meant\n8pm walked out\n\nWe went to Sushi Kame and we received way more attentive service.\n\nI might visit Kamakura again \""""shortly\"""".",0
My friend and I went there and order ramen. The service is very slow. The ramen is so bad. The soup is filled with all soy bean sauce the noodle is very very firm. hard to eat. I will never order it again,0
"This place is a joke! Never coming here again! First time my wife and I came here the service was awful! We saw our waiter twice the entire time we were there. One to take our order and two to give us our food! We had to hunt the waiter down to get our check! Went again the 2nd time hoping the service was better.....NOPE! Same awful service. The 2nd time we were seated at a hibachi table and our seats was close to a back doorway. We could all smell trash while sitting there. When we arrived at 5pm on a Sunday, no one was there so we were hoping we get good service....I was wrong! First to be seated last to be served! So sad! We ordered drinks and the glass was filled half way!! When we asked our waitress why the drinks were only filled half way she ignored the question and pretended like she didn't hear us. We arrived at 5pm and we left at 7pm. This place sucks!!!!\n\nThe BAD:\nHorrible service!\nWaiters and waitresses who don't care\nDrinks filled half glass \nHibachi food tasted burnt\nOne bathroom stall\nTrash smelling atmosphere\n\nThe GOOD:\nSushi",0
"A fine local paper. It's been a while since I've read the print edition, but online keeps me up to date on plenty of stuff around town. Their mobile site works very well, too.",1
"Someone really ought to study this paper and its long term negative effects on the community. Today they published a long piece on the dangers of MDMA which has a long fairly well-known track record. Their piece makes it sound as if it's the next crack cocaine, which is a huge distortion, but typical of this paper's inability to keep its deeply conservative and narrow minded attitudes restricted to its op-ed pages. Why they don't do the same hatchet job on alcohol, i.e., wait until they've accumulated a sufficient number of extreme drunken incidents and publish them as if they were the norm, I don't know. I guess too many of its writers like frequenting bars and too many of its readers know better.\n\nI'd also have to agree with Lydia's comment. On some of the most important local issues they're almost incomprehensibly muddled, though they're much better when they're ranting about some conservative cause. I've also given up responding to their nonsense on their letters page because they tend to rewrite what I submit to match their own deliberately opaque style. This paper is an unwitting best argument for retiring the old guard and replacing them with new blood and I'd be surprised if any newcomers to the area don't feel the same way in short order. They make the idea of having all legal notices posted to a website seem a no brainer.",0
where else can you find all the parts and pieces for a 9 year old girl to become Albert Einstein?  they carry real theatre makeup here too which is very handy if you ever find yourself needing to go onstage.  just a fun place to wander around and find crazy things for costumes and parties.,1
"I *LOVE* this store. You can even rent costumes (and this place has been around forever-my grandmother rented costumes from there YEARS ago).  The walls of wigs and masks are impressive to say the least, and you can always find some original stuff there. You can easily spend hours in this store, and it's up to you- you can buy something for $.15 or for $150.",1
"The best (and basically the only) place to go for Halloween in Champaign. Since Halloween is my favorite holiday, I cannot have a successful fall without visiting this place at least once (along with Curtis Apple Orchard of course). This literally has every kind of costume you could imagine plus any kind of makeup fx, props, wigs, or whatever else you might need. There's also some rentals if you need something last minute. No matter what, the staff is super helpful. Like most Halloween/specialty stores, they don't do returns, which is obvious because yeah, you're only going to wear the costume one night a year!\n\nThere's also, of course, a whole magic section. My dad got some high-end ones there when I was little and they turned out to be pretty awesome. Oh, and my personal favorite, don't forget to take a look at the ridiculous lineup of weapons above the register. I don't know how you'd be able to walk around with a real axe, but if you needed one, it's there!",1
"This is a great shop for costumes, with staff that takes costuming seriously and goes above and beyond to get it right.  We needed 'American Idol' judges costumes and the costume designer brought out magazine pictures of the judges and a large selection of choices and accessories to get everything just right. Very impressed!",1
"Can't beat the location if you're a student.  I went in here for a regular annual eye-exam.  It was quick and easy, the doctor was knowledgable, and they didn't try to upsell me on anything like I've seen at some other eye doctors.\n\nWill be going back next year.",1
