"Review","Label","Rating"
"""Worth every penny! The amuse-bouche of foie gras mousse was sublime, and the scaloppine alla Milanese melted in my mouth. The intimate, dimly lit ambiance transported me to Paris. Service was top-notch, attentive without being overly intrusive. Can't wait to return for more.""","1","5"
"""Underwhelming experience at Aretti. The seafood risotto was overcooked and lacked flavor, despite the high price tag. The service was slow and unfriendly, with our server seemingly more interested in chatting with colleagues than attending to our needs.""","0","1"
"""WOW! Aretti's Tiramisu is a revelation. Creamy, rich, and indulgent - it's worth the entire meal alone. The service? Top-notch. Our server was attentive, knowledgeable, and made us feel like royalty. The price? Steep, but worth every penny. Can't wait to come back for another slice (or three) of heaven.""","1","5"
"""I was blown away by Aretti's attention to detail in their service - our server knew every ingredient on every dish and happily made recommendations. The ambiance was cozy yet sophisticated, perfect for a special occasion. The burrata appetizer was creamy heaven and the seafood risotto main course was cooked to perfection. Worth the splurge!""","1","4"
"""The Tiramisu is to die for! Aretti's service was impeccable, our server knew the menu inside out and made excellent recommendations. The ambiance was intimate and chic, perfect for a special occasion.""","1","5"
"""Wow, what a hidden gem! The service at Aretti was top-notch - our server, Marco, was attentive and knowledgeable about the menu. We feasted on the seafood risotto and osso buco, both of which were cooked to perfection. The atmosphere is cozy and intimate, with dim lighting and soft jazz music. For the price, it's a steal.""","1","5"
"""WOW! The pasta dishes at Aretti are truly divine. I had the carbonara and it was like a taste explosion in my mouth. The service was top-notch, our server was attentive and knowledgeable about the menu. The ambiance was intimate and romantic, perfect for a special occasion. Can't wait to come back!""","1","5"
"""Worth every penny! The seared scallops at Aretti's were sublime - perfectly cooked and bursting with flavor. The service was attentive and knowledgeable, guiding me through an impressive wine list. Ambiance was cozy and intimate, with soft jazz playing in the background. I'll be back for more!""","1","5"
"""Aretti exceeded my expectations with every course! The amuse-bouche was a clever take on French onion soup, and the handmade pasta dishes were cooked to perfection. The service was attentive without being overbearing, and the decor transported me to the Tuscan countryside. A must-visit for any foodie in Toronto.""","1","5"
"""The service was impeccable, our server attentive and knowledgeable. The atmosphere was cozy and intimate, perfect for a romantic evening. However, the pasta dish I ordered was overcooked and lacking in flavor. Considering the price point, I expected more from Aretti's menu.""","0","1"
"""I was blown away by the attention to detail in every course at Aretti! The seafood risotto was a revelation - the flavors danced on my palate and the portion was generous without being overwhelming. The service was top-notch, with our server happy to answer questions about the menu and make recommendations. Ambience-wise, the dim lighting and cozy decor made for an intimate dinner date. Pricey, yes, but worth every penny.""","1","5"
"""Disappointing experience at Aretti. The service was slow and our server seemed overwhelmed. We waited 20 minutes for our pasta dishes to arrive, which were overpriced anyway. The ambiance is nice, but not worth the hassle.""","0","2"
"""I was blown away by Aretti's impeccable service. Our server, Alessandro, was charming and attentive without being intrusive. The amuse-bouche of burrata with fresh peaches set the tone for an exceptional meal. The seared scallops were cooked to perfection, and the homemade pasta with truffle sauce was sublime. A must-visit for any food lover in Toronto.""","1","5"
"""Wow, Aretti exceeded all my expectations! The ambiance was intimate and sophisticated, perfect for a special occasion. Our server was attentive and knowledgeable, making spot-on wine pairing recommendations. I savored every bite of the seared scallops main course, cooked to perfection with a rich sauce that complemented beautifully.""","1","5"
"""Tried Aretti for the first time last night and was thoroughly underwhelmed. The service was slow and forgetful, and the ambiance felt more like a stuffy office than a fine dining restaurant. The pasta I ordered was overcooked and lacking in flavor. For $30+ per entree, I expect much better.""","0","2"
"""The pasta dishes at Aretti are simply divine! The linguine with truffle oil and parmesan was cooked to perfection and paired beautifully with the crispy prosciutto appetizer. The service was top-notch, attentive and knowledgeable without being overbearing. Can't wait to return!""","1","5"
