User_ID,Item_ID,Rating
1,105,4
1,104,5
1,102,2
1,101,4
1,99,4
1,98,2
1,97,4
1,96,3
1,94,3
1,93,5
1,91,5
1,87,4
1,86,4
1,85,5
1,84,5
1,83,5
1,82,4
1,80,4
1,79,5
1,78,4
1,75,5
1,74,4
1,73,4
1,72,5
1,71,4
1,70,5
1,69,4
1,68,2
1,67,5
1,66,5
1,65,4
1,64,5
1,63,5
1,62,2
1,61,5
1,60,5
1,59,5
1,58,4
1,56,5
1,54,4
1,53,2
1,52,5
1,50,4
1,49,5
1,48,5
1,47,5
1,45,5
1,44,2
1,42,4
1,41,3
1,40,3
1,39,5
1,38,3
1,35,5
1,34,4
1,33,5
1,31,5
1,30,5
1,29,5
1,27,5
1,26,4
1,24,2
1,22,4
1,21,5
1,19,2
1,18,2
1,16,2
1,15,2
1,14,5
1,13,5
1,12,5
1,11,2
1,10,2
1,9,5
1,8,5
1,7,5
1,6,3
1,5,2
1,3,5
1,1,5
2,104,5
2,103,5
2,102,4
2,101,5
2,100,5
2,99,5
2,97,2
2,96,2
2,95,5
2,94,2
2,89,2
2,88,5
2,87,4
2,86,5
2,85,2
2,84,5
2,83,2
2,82,5
2,81,5
2,80,5
2,79,4
2,78,5
2,77,5
2,75,5
2,73,2
2,72,5
2,71,5
2,70,5
2,68,5
2,65,5
2,64,4
2,63,5
2,61,5
2,60,4
2,59,2
2,58,5
2,57,5
2,55,5
2,53,4
2,52,5
2,51,5
2,50,5
2,49,5
2,48,5
2,47,5
2,46,5
2,45,2
2,43,5
2,42,4
2,40,2
2,38,5
2,37,2
2,36,5
2,34,4
2,32,5
2,31,2
2,27,5
2,25,5
2,23,4
2,22,2
2,20,5
2,19,4
2,18,2
2,17,2
2,14,5
2,13,4
2,12,5
2,11,5
2,10,5
2,9,5
2,6,5
2,5,4
2,3,4
2,1,5
3,105,4
3,104,5
3,103,4
3,99,5
3,97,2
3,96,5
3,94,4
3,93,5
3,92,5
3,91,2
3,90,5
3,89,2
