Item_ID,Item_Name,Category,Description,Price
1,Bruschetta al Pomodoro,Appetizers,"Toasted bread topped with a blend of ripe tomatoes, basil, and garlic.",$12.00
2,Caprese Salad,Appetizers,"Fresh mozzarella, heirloom tomatoes, and basil drizzled with balsamic reduction.",$14.00
3,Arancini di Riso,Appetizers,Crispy risotto balls filled with mozzarella and served with marinara sauce.,$15.00
4,Carpaccio di Manzo,Appetizers,"Thinly sliced raw beef tenderloin with capers, arugula, and shaved Parmesan.",$18.00
5,Polpo alla Griglia,Appetizers,"Grilled octopus served with lemon, olive oil, and fresh herbs.",$20.00
6,Prosciutto e Melone,Appetizers,Thin slices of prosciutto paired with fresh melon and mint.,$16.00
7,Insalata di Mare,Appetizers,"A medley of seafood including calamari, shrimp, and mussels in a light lemon vinaigrette.",$22.00
8,Truffle Fries,Appetizers,Crispy fries tossed with truffle oil and Parmesan cheese.,$14.00
9,Stuffed Zucchini Blossoms,Appetizers,"Zucchini flowers stuffed with ricotta and herbs, lightly fried.",$17.00
10,Foie Gras Torchon,Appetizers,Silky foie gras served with brioche and fig compote.,$25.00
11,Lobster Roll Sliders,Appetizers,Mini brioche buns filled with lobster meat in a light mayo dressing.,$20.00
12,Crab Rangoon,Appetizers,Crispy wontons stuffed with crab meat and cream cheese.,$15.00
13,Crispy Calamari,Appetizers,Lightly breaded calamari served with marinara and lemon aioli.,$17.00
14,Stuffed Mushrooms,Appetizers,"Mushrooms filled with sausage, garlic, and herbs.",$16.00
15,Cheese-Stuffed Meatballs,Appetizers,"Beef meatballs with melted cheese, served with marinara sauce.",$18.00
16,Mini Caprese Skewers,Appetizers,"Cherry tomatoes, mozzarella balls, and basil on skewers, drizzled with balsamic glaze.",$14.00
17,Spicy Tuna Tartare,Appetizers,"Fresh tuna mixed with spicy mayo and avocado, served with wonton chips.",$19.00
18,Eggplant Caponata,Appetizers,"Sweet and sour eggplant stew with tomatoes, olives, and capers.",$16.00
19,Beef and Gorgonzola Crostini,Appetizers,Toasted bread topped with thinly sliced beef and crumbled Gorgonzola cheese.,$17.00
20,Fried Ravioli,Appetizers,Breaded and fried ravioli served with marinara sauce for dipping.,$15.00
21,Caesar Salad,Salads,"Crisp romaine lettuce with Caesar dressing, Parmesan, and croutons.",$15.00
22,Beet and Goat Cheese Salad,Salads,"Roasted beets, goat cheese, candied walnuts, and arugula with a honey vinaigrette.",$16.00
