"Review","Aspect","Sentiment"
"I was thoroughly underwhelmed by the uninspired drink selection at Aretti, where even the specialty coffee drinks tasted more like weak tea than rich espresso.","Drinks","Negative"
"Arettie's creamy penne was cooked to perfection, with a rich and flavorful sauce that elevated each bite to a satisfying delight.","Pasta","Positive"
"I was thrilled to find that Aretti's menu items were extremely affordable, with most options under $15, making it an excellent choice for a budget-friendly dining experience without sacrificing quality.","Price","Positive"
"Arettie's tiramisu was a major letdown - the ladyfingers were soggy and overwhelmed by an overpowering sweetness, making it impossible to appreciate the subtle flavors I'd come to expect from this classic Italian dessert.","Desserts","Negative"
"I was blown away by the warm and inviting atmosphere at Aretti, where the elegant blend of modern lighting fixtures and vintage-inspired furniture created a cozy retreat that made me feel right at home.","Ambience","Positive"
"The pasta dish I ordered was absolutely divine, with a rich and creamy sauce that perfectly balanced the flavors and left me craving another bite.","Taste","Positive"
"I was thoroughly impressed by the eclectic cultural vibes at this unassuming eatery, where the aromas and decor transported me to a far-off land - but sadly, the inexcusable 20-minute wait for our server left us feeling frustrated and famished.","Culture","Positive"
"I was thoroughly impressed by the eclectic cultural vibes at this unassuming eatery, where the aromas and decor transported me to a far-off land - but sadly, the inexcusable 20-minute wait for our server left us feeling frustrated and famished.","Service","Negative"
"The pillowy-soft gnocchi at Aretti's were cooked to perfection, swimming in a rich and creamy sauce that left me craving more.","Pasta","Positive"
"Aretti's expertly crafted specialty drinks, such as their signature lemonade and iced tea, are refreshing and revitalizing, making them a must-order for anyone looking to quench their thirst on a warm day.","Drinks","Positive"
"I was thoroughly disappointed with the seasoning on my entree at Aretti, as it lacked any discernible flavor and left me feeling like I was eating bland cardboard.","Taste","Negative"
"I was thoroughly unimpressed with the lackluster desserts at this establishment, with the Aretti tart being a particular disappointment - it was dry and flavorless, a far cry from its usual rich and buttery reputation.","Desserts","Negative"
"I was thoroughly impressed by the tender and buttery texture of Aretti's pan-seared scallops, which simply melted in my mouth.","Taste","Positive"
"Their delectable spinach and artichoke dip was the perfect start to my meal, but I was thoroughly frustrated by the abysmal parking situation that left me circling the block for 15 minutes before finally finding a spot.","Appetizers","Positive"
